TIme,ws,rad,VWC_2_Avg,T_2_Avg,LE,H,TKE,Precp
5/07/16 14:00:00,1.22364,232.7,0.285,13.04,139.9735346,220.9393922,0.4684660727,0
5/07/16 14:30:00,2.094266,384.2,0.285,13.04,251.4473898,215.2662628,0.6821406532,0
5/07/16 15:00:00,3.063019,492.4,0.285,14.71,210.8589703,257.5947373,0.7425620129,0
5/07/16 15:30:00,3.849852,502.1,0.285,14.71,157.2646708,254.1842113,0.766951174,0
5/07/16 16:00:00,3.275261,444.7,0.285,17.37,157.2750503,102.5699675,0.6522190042,0
5/07/16 16:30:00,1.996997,288.1,0.285,17.37,219.7341359,249.188324,0.9782869864,0
5/07/16 17:00:00,2.926614,496.5,0.284,16,208.1801686,198.539321,1.616237464,0
5/07/16 17:30:00,3.475087,435.9,0.284,16,245.3578161,187.2775135,0.7141273798,0
5/07/16 18:00:00,1.695681,456.6,0.284,17.15,125.5620983,118.0146212,0.5844341167,0
5/07/16 18:30:00,2.913215,262.1,0.284,17.15,77.65810648,45.47102297,1.226252788,0
5/07/16 19:00:00,2.611129,138.1,0.283,14.43,62.16548337,12.06911594,0.9087622287,0
5/07/16 19:30:00,1.385247,86.4,0.283,14.43,39.7207442,5.535670983,0.644798133,0
5/07/16 20:00:00,2.12021,55,0.283,11.39,8.954489488,2.301902227,0.7761542288,0
5/07/16 20:30:00,3.133348,18.55,0.283,11.39,19.22542841,4.463815287,0.7547672619,0
5/07/16 21:00:00,2.200332,28.73,0.283,9.88,-4.470881299,-6.355127717,0.739064156,0
5/07/16 21:30:00,1.548234,-6.968,0.283,9.88,-15.04631407,-27.38379062,0.7035173623,0
5/07/16 22:00:00,2.578929,-41.36,0.282,8.74,-15.00846447,-23.69143084,0.6727855612,0
5/07/16 22:30:00,3.119303,-39.77,0.282,8.74,-16.66308654,-25.81981238,0.5820671111,0
5/07/16 23:00:00,1.75727,-45.13,0.282,7.186,-21.31392505,-17.81726269,0.4718828855,0
5/07/16 23:30:00,1.144574,-43.13,0.282,7.186,-21.93752393,-22.33620172,0.3345238295,0
6/07/16 00:00:00,0.6713961,-49.23,0.282,6.552,-16.31728218,-25.93657163,0.2101066698,0
6/07/16 00:30:00,1.199082,-48.59,0.282,6.552,-16.43353713,-31.33561595,0.3182786262,0
