Time,H,LE,ws,wd,air_temp,TKE,rad,VWC_5_avg
19/07/201606:30:00,-54.94567883,83.47817499,0.2197932,138.477033,282.6440559,0.837555596,8.922126,0.377
19/07/201607:00:00,-32.31495163,38.40018721,0.607609593,234.9275005,283.1494561,1.577622201,-10.43117,0.377
19/07/201607:30:00,-32.95173303,53.51909948,1.258209451,266.1870843,283.3342353,1.891739547,-11.46024,0.376
19/07/201608:00:00,-43.06805803,85.92767819,1.222722476,274.7672694,283.6942175,3.229631717,-23.9636,0.38
19/07/201608:30:00,-3.691366441,101.027818,1.510008434,271.7150606,283.8966382,3.206590096,-18.70157,0.38
19/07/201609:00:00,3.144941614,127.0615366,2.304249161,241.9080683,283.8972137,3.604748963,-21.08595,0.377
19/07/201609:30:00,18.47597078,114.8948661,1.534361912,186.4159287,284.013569,4.077016704,-39.49559,0.376
19/07/201610:00:00,8.967117139,105.4141432,1.732194703,214.2928354,284.7479998,3.733242583,-26.842,0.376
19/07/201610:30:00,86.47944245,173.6261576,1.994385742,211.515332,284.4331452,4.041513956,-16.99539,0.376
19/07/201611:00:00,44.90578212,89.4285265,2.328613936,239.1042759,285.1885721,3.997014806,-22.05769,0.376
19/07/201611:30:00,75.60694294,150.9017346,1.29731519,216.5353573,285.5729021,4.439419774,-25.57303,0.375
19/07/201612:00:00,78.01574147,132.9750143,1.665466283,245.5564504,285.6885084,3.118073372,-9.747866,0.375
19/07/201612:30:00,124.1513566,232.096923,0.70316569,169.9609782,285.7006912,4.494250816,-10.68081,0.376
19/07/201613:00:00,122.3680165,204.3037421,2.331986207,227.6021171,285.7813555,5.102388739,-10.23767,0.375
19/07/201613:30:00,77.57482886,182.2081938,1.182161216,230.618339,285.9307158,6.065675252,-10.81371,0.374
19/07/201614:00:00,58.46708675,250.6120899,1.523063921,203.1083001,286.2664892,4.206861046,-19.94471,0.374
19/07/201614:30:00,73.62162993,177.4029182,1.742033338,210.4660282,286.066548,4.550767685,-9.444864,0.374
19/07/201615:00:00,16.27765267,173.0796468,1.959935559,207.214809,286.7077359,3.215150043,-9.445591,0.373
19/07/201615:30:00,115.7916162,190.0294605,1.705800292,204.1187373,286.5295147,4.068242034,31.33417,0.372
19/07/201616:00:00,5.426773475,107.1192895,1.050234105,224.9984534,286.9558316,2.966874146,42.75903,0.372
19/07/201616:30:00,21.11233185,119.0002262,0.53382727,283.0672303,287.0156515,4.103461526,38.41703,0.372
19/07/201617:00:00,-12.49677675,105.1854754,0.634595131,104.1765397,287.1538289,4.236183718,51.36662,0.372
19/07/201617:30:00,-28.07673612,105.2759954,0.183974147,173.4846274,286.957831,2.643929565,376.5801,0.372
19/07/201618:30:00,-16.51578187,61.56438757,0.283037353,349.9207701,286.8632876,2.786776883,262.6856,0.372
19/07/201619:00:00,-32.15035628,78.03861106,0.524006662,228.213247,286.3133448,2.294378782,234.3766,0.373
19/07/201619:30:00,-40.65488136,130.2828821,0.883261492,260.4169075,286.3574073,3.423964682,533.4859,0.373
19/07/201620:00:00,-40.88819471,69.94287682,0.405210235,112.2697219,285.4378395,2.207466568,554.0477,0.373
19/07/201620:30:00,-23.10620354,20.86602896,1.106817001,144.6157583,284.6157433,1.113538733,566.0856,0.374
19/07/201621:30:00,-23.6,10.765,1.354327839,145.6567658,276.4137524,1.645835563,613.7509,0.374
